SchoolKey,SchoolName,SchoolPostcode,SchoolMapLabel,LocalAuthority,Postcode_area,Postcode_district,Latitude,Longitude,CatchmentGeoJsonUrl,FallbackGeoJsonUrl,FallbackGeoJsonFilename,HasRealCatchmentGeoJson,HasFallbackGeoJson
North Berwick High School|EH39 4QS,North Berwick High School,EH39 4QS,North Berwick High School (East Lothian),East Lothian,EH,EH39,56.0525312,-2.721882,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_north_berwick_high_170.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_north_berwick_high_school_eh39_4qs.geojson,fallback_north_berwick_high_school_eh39_4qs.geojson,True,True
North West Community Campus|DG2 9DF,North West Community Campus,DG2 9DF,North West Community Campus (Dumfries and Galloway),Dumfries and Galloway,DG,DG2,55.0799044,-3.6346083,,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_north_west_community_campus_dg2_9df.geojson,fallback_north_west_community_campus_dg2_9df.geojson,False,True
Northfield Academy|AB16 7AU,Northfield Academy,AB16 7AU,Northfield Academy (Aberdeen City),Aberdeen City,AB,AB16,57.1622442,-2.1469177,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_northfield_academy_5244234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_northfield_academy_ab16_7au.geojson,fallback_northfield_academy_ab16_7au.geojson,True,True
Notre Dame High School|G12 9LN,Notre Dame High School,G12 9LN,Notre Dame High School (Glasgow City),Glasgow City,G,G12,55.8782264,-4.2989428,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_notre_dame_high_school_g12_9ln.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_notre_dame_high_school_g12_9ln.geojson,fallback_notre_dame_high_school_g12_9ln.geojson,True,True
Notre Dame High School|PA16 9BJ,Notre Dame High School,PA16 9BJ,Notre Dame High School (Inverclyde),Inverclyde,PA,PA16,55.9414115,-4.776019,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_inverclyde_notre_dame_high_school_pa16_9bj.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_notre_dame_high_school_pa16_9bj.geojson,fallback_notre_dame_high_school_pa16_9bj.geojson,True,True
Oban High School|PA34 4JB,Oban High School,PA34 4JB,Oban High School (Argyll and Bute),Argyll and Bute,PA,PA34,56.4059557,-5.4671093,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_argyll_and_bute_oban_high_school_8110336.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_oban_high_school_pa34_4jb.geojson,fallback_oban_high_school_pa34_4jb.geojson,True,True
Oldmachar Academy|AB22 8UR,Oldmachar Academy,AB22 8UR,Oldmachar Academy (Aberdeen City),Aberdeen City,AB,AB22,57.1931351,-2.1230482,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_oldmachar_academy_5246237.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_oldmachar_academy_ab22_8ur.geojson,fallback_oldmachar_academy_ab22_8ur.geojson,True,True
Our Lady & St Patrick's High School|G82 3DR,Our Lady & St Patrick's High School,G82 3DR,Our Lady & St Patrick's High School (West Dunbartonshire),West Dunbartonshire,G,G82,55.9601284,-4.5526532,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_west_dunbartonshire_our_lady_st_patrick_s_high_school_g82_3dr.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_our_lady_st_patrick_s_high_school_g82_3dr.geojson,fallback_our_lady_st_patrick_s_high_school_g82_3dr.geojson,True,True
Our Lady's High School - Cumbernauld|G67 1LA,Our Lady's High School - Cumbernauld,G67 1LA,Our Lady's High School - Cumbernauld (North Lanarkshire),North Lanarkshire,G,G67,55.9434624,-4.0027703,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_north_lanarkshire_our_lady_s_high_school_cumbernauld_g67_1la.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_our_lady_s_high_school_cumbernauld_g67_1la.geojson,fallback_our_lady_s_high_school_cumbernauld_g67_1la.geojson,True,True
Our Lady's High School - Motherwell|ML1 2DG,Our Lady's High School - Motherwell,ML1 2DG,Our Lady's High School - Motherwell (North Lanarkshire),North Lanarkshire,ML,ML1,55.7770428,-3.9762528,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_north_lanarkshire_our_lady_s_high_school_motherwell_ml1_2dg.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_our_lady_s_high_school_motherwell_ml1_2dg.geojson,fallback_our_lady_s_high_school_motherwell_ml1_2dg.geojson,True,True
