matched_school_key,school_name,school_postcode,local_authority,combined_geojson_filename,combined_geojson_url,feature_count,row_geojson_urls
St Luke's High School|G78 2SG,St Luke's High School,G78 2SG,East Renfrewshire,scotland_sd_combined_east_renfrewshire_st_luke_s_high_school_g78_2sg.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_east_renfrewshire_st_luke_s_high_school_g78_2sg.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_renfrewshire_st_luke_s_high_school_8626138.geojson
St Kentigern's Academy|EH47 7LX,St Kentigern's Academy,EH47 7LX,West Lothian,scotland_sd_combined_west_lothian_st_kentigern_s_academy_eh47_7lx.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_west_lothian_st_kentigern_s_academy_eh47_7lx.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_lothian_st_kentigern_s_academy_5509939.geojson
St John's RC High School|DD3 6EY,St John's RC High School,DD3 6EY,Dundee City,scotland_sd_combined_dundee_city_st_john_s_rc_high_school_dd3_6ey.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_dundee_city_st_john_s_rc_high_school_dd3_6ey.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_dundee_city_st_john_s_rc_high_school_5330831.geojson
Notre Dame High School|PA16 9BJ,Notre Dame High School,PA16 9BJ,Inverclyde,scotland_sd_combined_inverclyde_notre_dame_high_school_pa16_9bj.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_inverclyde_notre_dame_high_school_pa16_9bj.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_inverclyde_notre_dame_high_school_8645132.geojson
St Paul's High School|G53 5HW,St Paul's High School,G53 5HW,Glasgow City,scotland_sd_combined_glasgow_city_st_paul_s_high_school_g53_5hw.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_st_paul_s_high_school_g53_5hw.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_paul_s_high_school_8432139.geojson
Notre Dame High School|G12 9LN,Notre Dame High School,G12 9LN,Glasgow City,scotland_sd_combined_glasgow_city_notre_dame_high_school_g12_9ln.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_notre_dame_high_school_g12_9ln.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_notre_dame_high_school_8436134.geojson
Cardinal Newman High School|ML4 3DW,Cardinal Newman High School,ML4 3DW,North Lanarkshire,scotland_sd_combined_north_lanarkshire_cardinal_newman_high_school_ml4_3dw.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_north_lanarkshire_cardinal_newman_high_school_ml4_3dw.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_cardinal_newman_high_school_8518637.geojson
St Margaret's Academy|EH54 6AT,St Margaret's Academy,EH54 6AT,West Lothian,scotland_sd_combined_west_lothian_st_margaret_s_academy_eh54_6at.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_west_lothian_st_margaret_s_academy_eh54_6at.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_lothian_st_margaret_s_academy_5512530.geojson
St Ninian's High School|G46 6UX,St Ninian's High School,G46 6UX,East Renfrewshire,scotland_sd_combined_east_renfrewshire_st_ninian_s_high_school_g46_6ux.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_east_renfrewshire_st_ninian_s_high_school_g46_6ux.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_east_renfrewshire_st_ninians_high_school_56.geojson
All Saints Secondary School|G21 3EN,All Saints Secondary School,G21 3EN,Glasgow City,scotland_sd_combined_glasgow_city_all_saints_secondary_school_g21_3en.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_all_saints_secondary_school_g21_3en.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_all_saints_secondary_school_8431930.geojson
St Mungo's Academy|G40 2RA,St Mungo's Academy,G40 2RA,Glasgow City,scotland_sd_combined_glasgow_city_st_mungo_s_academy_g40_2ra.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_st_mungo_s_academy_g40_2ra.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_mungo_s_academy_8438439.geojson
Lourdes Secondary School|G52 3DF,Lourdes Secondary School,G52 3DF,Glasgow City,scotland_sd_combined_glasgow_city_lourdes_secondary_school_g52_3df.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_lourdes_secondary_school_g52_3df.geojson,1,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_lourdes_secondary_school_8435839.geojson
