geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_north_ayrshire_auchenharvie_academy_8216134.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_ayrshire_auchenharvie_academy_8216134.geojson,AUCHENHARVIE ACADEMY,North Ayrshire,8216134,Auchenharvie Academy|KA20 3JW,seed_code
scotland_sn_aberdeenshire_meldrum_academy_5232333.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_meldrum_academy_5232333.geojson,MELDRUM ACADEMY,Aberdeenshire,5232333,Meldrum Academy|AB51 0NT,seed_code
scotland_sn_east_lothian_rosehill_high_school_wef_aug_23_158.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_rosehill_high_school_wef_aug_23_158.geojson,ROSEHILL HIGH SCHOOL WEF AUG 23,East Lothian,,Rosehill High School|EH21 8BF,manual_override
scotland_sn_city_of_edinburgh_properties_in_this_area_have_castlebrae_high_as_their_catchment_school_159.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_properties_in_this_area_have_castlebrae_high_as_their_catchment_school_159.geojson,PROPERTIES IN THIS AREA HAVE CASTLEBRAE HIGH AS THEIR CATCHMENT SCHOOL,City of Edinburgh,,Castlebrae Community High School|EH16 4DT,manual_override
scotland_sn_midlothian_dalkeith_high_school_5545838.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_midlothian_dalkeith_high_school_5545838.geojson,DALKEITH HIGH SCHOOL,Midlothian,5545838,Dalkeith High School|EH22 2PS,seed_code
scotland_sn_south_ayrshire_girvan_academy_8236534.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_girvan_academy_8236534.geojson,GIRVAN ACADEMY,South Ayrshire,8236534,Girvan Academy|KA26 9DW,seed_code
scotland_sn_highland_kinlochbervie_high_school_5153239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_kinlochbervie_high_school_5153239.geojson,KINLOCHBERVIE HIGH SCHOOL,Highland,5153239,Kinlochbervie High School|IV27 4RG,seed_code
scotland_sn_renfrewshire_paisley_grammar_school_8628734.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_renfrewshire_paisley_grammar_school_8628734.geojson,PAISLEY GRAMMAR SCHOOL,Renfrewshire,8628734,Paisley Grammar School|PA1 3RP,seed_code
scotland_sn_west_dunbartonshire_vale_of_leven_academy_8304831.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_dunbartonshire_vale_of_leven_academy_8304831.geojson,VALE OF LEVEN ACADEMY,West Dunbartonshire,8304831,Vale Of Leven Academy|G83 0BH,seed_code
scotland_sn_aberdeenshire_turriff_academy_5221234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_turriff_academy_5221234.geojson,TURRIFF ACADEMY,Aberdeenshire,5221234,Turriff Academy|AB53 4EE,seed_code
scotland_sn_fife_beath_high_school_5447232.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_beath_high_school_5447232.geojson,BEATH HIGH SCHOOL,Fife,5447232,Beath High School|KY4 9BH,seed_code
scotland_sn_perth_and_kinross_perth_high_school_or_harris_academy_167.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_perth_high_school_or_harris_academy_167.geojson,PERTH HIGH SCHOOL OR HARRIS ACADEMY,Perth and Kinross,,,unmatched
scotland_sn_east_ayrshire_robert_burns_academy_1005014.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_ayrshire_robert_burns_academy_1005014.geojson,ROBERT BURNS ACADEMY,East Ayrshire,1005014,Robert Burns Academy|KA18 1FQ,seed_code
scotland_sn_aberdeen_city_cults_academy_5235839.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_cults_academy_5235839.geojson,CULTS ACADEMY,Aberdeen City,5235839,Cults Academy|AB15 9TP,seed_code
scotland_sn_east_lothian_north_berwick_high_170.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_lothian_north_berwick_high_170.geojson,NORTH BERWICK HIGH,East Lothian,,North Berwick High School|EH39 4QS,manual_override
scotland_sn_aberdeenshire_inverurie_academy_5231639.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_inverurie_academy_5231639.geojson,INVERURIE ACADEMY,Aberdeenshire,5231639,Inverurie Academy|AB51 3QZ,seed_code
scotland_sn_south_lanarkshire_lanark_grammar_172.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_lanark_grammar_172.geojson,LANARK GRAMMAR,South Lanarkshire,,Lanark Grammar School|ML11 9AJ,manual_override
scotland_sn_fife_balwearie_high_school_5406838.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_balwearie_high_school_5406838.geojson,BALWEARIE HIGH SCHOOL,Fife,5406838,Balwearie High School|KY2 5LY,seed_code
scotland_sn_glasgow_city_cleveden_secondary_school_8432236.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_cleveden_secondary_school_8432236.geojson,CLEVEDEN SECONDARY SCHOOL,Glasgow City,8432236,Cleveden Secondary School|G12 0JW,seed_code
scotland_sn_west_lothian_inveralmond_community_high_school_5502632.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_inveralmond_community_high_school_5502632.geojson,INVERALMOND COMMUNITY HIGH SCHOOL,West Lothian,5502632,Inveralmond Community High School|EH54 6HW,seed_code
scotland_sn_west_lothian_whitburn_academy_5510430.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_whitburn_academy_5510430.geojson,WHITBURN ACADEMY,West Lothian,5510430,Whitburn Academy|EH47 0HL,seed_code
scotland_sn_falkirk_denny_high_school_5745438.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_denny_high_school_5745438.geojson,DENNY HIGH SCHOOL,Falkirk,5745438,Denny High School|FK6 6EE,seed_code
scotland_sn_south_lanarkshire_duncanrig_secondary_school_8533431.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_duncanrig_secondary_school_8533431.geojson,DUNCANRIG SECONDARY SCHOOL,South Lanarkshire,8533431,Duncanrig Secondary School|G75 8ZT,seed_code
scotland_sn_dundee_city_greenfield_academy_1006495.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dundee_city_greenfield_academy_1006495.geojson,GREENFIELD ACADEMY,Dundee City,1006495,,unmatched
scotland_sn_dumfries_and_galloway_wallace_hall_academy_5939739.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_wallace_hall_academy_5939739.geojson,WALLACE HALL ACADEMY,Dumfries and Galloway,5939739,Wallace Hall Academy|DG3 5DS,seed_code
scotland_sn_angus_forfar_academy_5307538.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_forfar_academy_5307538.geojson,FORFAR ACADEMY,Angus,5307538,Forfar Academy|DD8 3TG,seed_code
scotland_sn_dumfries_and_galloway_dalry_secondary_school_5918332.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_dalry_secondary_school_5918332.geojson,DALRY SECONDARY SCHOOL,Dumfries and Galloway,5918332,Dalry Secondary School|DG7 3UX,seed_code
scotland_sn_dumfries_and_galloway_moffat_academy_5948738.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_moffat_academy_5948738.geojson,MOFFAT ACADEMY,Dumfries and Galloway,5948738,Moffat Academy|DG10 9QL,seed_code
scotland_sn_highland_culloden_academy_5143934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_culloden_academy_5143934.geojson,CULLODEN ACADEMY,Highland,5143934,Culloden Academy|IV2 7JZ,seed_code
scotland_sn_city_of_edinburgh_drummond_community_high_school_5532531.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_drummond_community_high_school_5532531.geojson,DRUMMOND COMMUNITY HIGH SCHOOL,City of Edinburgh,5532531,Drummond Community High School|EH7 4BS,seed_code
scotland_sn_glasgow_city_whitehill_secondary_school_8439532.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_whitehill_secondary_school_8439532.geojson,WHITEHILL SECONDARY SCHOOL,Glasgow City,8439532,Whitehill Secondary School|G31 2QF,seed_code
scotland_sn_argyll_and_bute_campbeltown_grammar_or_tarbert_academy_187.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_argyll_and_bute_campbeltown_grammar_or_tarbert_academy_187.geojson,CAMPBELTOWN GRAMMAR OR TARBERT ACADEMY,Argyll and Bute,,,unmatched
scotland_sn_highland_kingussie_high_school_5146038.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_kingussie_high_school_5146038.geojson,KINGUSSIE HIGH SCHOOL,Highland,5146038,Kingussie High School|PH21 1ES,seed_code
scotland_sn_argyll_and_bute_lochgilphead_high_school_8111030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_argyll_and_bute_lochgilphead_high_school_8111030.geojson,LOCHGILPHEAD HIGH SCHOOL,Argyll and Bute,8111030,Lochgilphead High School|PA31 8AA,seed_code
scotland_sn_glasgow_city_shawlands_academy_8436932.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_shawlands_academy_8436932.geojson,SHAWLANDS ACADEMY,Glasgow City,8436932,Shawlands Academy|G41 3TR,seed_code
scotland_sn_east_dunbartonshire_douglas_academy_8325731.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_dunbartonshire_douglas_academy_8325731.geojson,DOUGLAS ACADEMY,East Dunbartonshire,8325731,Douglas Academy|G62 7HS,seed_code
scotland_sn_highland_lochaber_high_school_5135931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_lochaber_high_school_5135931.geojson,LOCHABER HIGH SCHOOL,Highland,5135931,Lochaber High School|PH33 7ND,seed_code
scotland_sn_highland_inverness_high_school_5142636.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_inverness_high_school_5142636.geojson,INVERNESS HIGH SCHOOL,Highland,5142636,Inverness High School|IV3 5DZ,seed_code
scotland_sn_glasgow_city_hyndland_secondary_school_8434638.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_hyndland_secondary_school_8434638.geojson,HYNDLAND SECONDARY SCHOOL,Glasgow City,8434638,Hyndland Secondary School|G12 9RQ,seed_code
scotland_sn_glasgow_city_king_s_park_secondary_school_8435138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_king_s_park_secondary_school_8435138.geojson,KING'S PARK SECONDARY SCHOOL,Glasgow City,8435138,King's Park Secondary School|G44 5BL,seed_code
scotland_sn_aberdeen_city_northfield_academy_5244234.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_northfield_academy_5244234.geojson,NORTHFIELD ACADEMY,Aberdeen City,5244234,Northfield Academy|AB16 7AU,seed_code
scotland_sn_north_lanarkshire_cumbernauld_academy_1002732.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_cumbernauld_academy_1002732.geojson,CUMBERNAULD ACADEMY,North Lanarkshire,1002732,Cumbernauld Academy|G67 2UF,seed_code
scotland_sn_east_dunbartonshire_boclair_academy_8325936.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_dunbartonshire_boclair_academy_8325936.geojson,BOCLAIR ACADEMY,East Dunbartonshire,8325936,Boclair Academy|G61 2PL,seed_code
scotland_sn_renfrewshire_gleniffer_high_school_8628831.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_renfrewshire_gleniffer_high_school_8628831.geojson,GLENIFFER HIGH SCHOOL,Renfrewshire,8628831,Gleniffer High School|PA2 0AG,seed_code
scotland_sn_city_of_edinburgh_the_royal_high_secondary_school_200.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_the_royal_high_secondary_school_200.geojson,THE ROYAL HIGH SECONDARY SCHOOL,City of Edinburgh,,The Royal High School|EH4 6JP,manual_override
scotland_sn_fife_waid_academy_5426138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_waid_academy_5426138.geojson,WAID ACADEMY,Fife,5426138,Waid Academy|KY10 3HD,seed_code
scotland_sn_west_lothian_broxburn_academy_5510031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_broxburn_academy_5510031.geojson,BROXBURN ACADEMY,West Lothian,5510031,Broxburn Academy|EH52 6AG,seed_code
scotland_sn_glasgow_city_lochend_community_high_school_8435731.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_lochend_community_high_school_8435731.geojson,LOCHEND COMMUNITY HIGH SCHOOL,Glasgow City,8435731,Lochend Community High School|G34 0NZ,seed_code
scotland_sn_aberdeenshire_peterhead_academy_5220734.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_peterhead_academy_5220734.geojson,PETERHEAD ACADEMY,Aberdeenshire,5220734,Peterhead Academy|AB42 1SY,seed_code
scotland_sn_city_of_edinburgh_trinity_academy_5534534.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_trinity_academy_5534534.geojson,TRINITY ACADEMY,City of Edinburgh,5534534,Trinity Academy|EH6 4RT,seed_code
scotland_sn_aberdeenshire_westhill_academy_5232937.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_westhill_academy_5232937.geojson,WESTHILL ACADEMY,Aberdeenshire,5232937,Westhill Academy|AB32 6XZ,seed_code
scotland_sn_highland_kinlochleven_high_school_5135532.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_kinlochleven_high_school_5135532.geojson,KINLOCHLEVEN HIGH SCHOOL,Highland,5135532,Kinlochleven High School|PH50 4QG,seed_code
scotland_sn_north_lanarkshire_dalziel_high_school_8516936.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_dalziel_high_school_8516936.geojson,DALZIEL HIGH SCHOOL,North Lanarkshire,8516936,Dalziel High School|ML1 3AG,seed_code
scotland_sn_city_of_edinburgh_liberton_high_school_5533430.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_liberton_high_school_5533430.geojson,LIBERTON HIGH SCHOOL,City of Edinburgh,5533430,Liberton High School|EH17 7PT,seed_code
scotland_sn_west_lothian_armadale_academy_5509238.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_armadale_academy_5509238.geojson,ARMADALE ACADEMY,West Lothian,5509238,Armadale Academy|EH48 3LY,seed_code
scotland_sn_falkirk_falkirk_high_school_5745632.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_falkirk_falkirk_high_school_5745632.geojson,FALKIRK HIGH SCHOOL,Falkirk,5745632,Falkirk High School|FK1 5BZ,seed_code
scotland_sn_angus_webster_s_high_school_5307732.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_webster_s_high_school_5307732.geojson,WEBSTER'S HIGH SCHOOL,Angus,5307732,Webster's High School|DD8 5BR,seed_code
scotland_sn_city_of_edinburgh_forrester_high_school_5532736.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_forrester_high_school_5532736.geojson,FORRESTER HIGH SCHOOL,City of Edinburgh,5532736,Forrester High School|EH12 9AE,seed_code
scotland_sn_fife_glenrothes_high_school_5406730.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_glenrothes_high_school_5406730.geojson,GLENROTHES HIGH SCHOOL,Fife,5406730,Glenrothes High School|KY6 1HJ,seed_code
scotland_sn_shetland_islands_aith_junior_high_school_6103030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_aith_junior_high_school_6103030.geojson,AITH JUNIOR HIGH SCHOOL,Shetland Islands,6103030,Aith Junior High School|ZE2 9NB,seed_code
scotland_sn_north_ayrshire_arran_high_school_8200831.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_ayrshire_arran_high_school_8200831.geojson,ARRAN HIGH SCHOOL,North Ayrshire,8200831,Arran High School|KA27 8NG,seed_code
scotland_sn_south_lanarkshire_lanark_grammar_lanark_grammar_217.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_lanark_grammar_lanark_grammar_217.geojson,"LANARK GRAMMAR, LANARK GRAMMAR",South Lanarkshire,,,unmatched
scotland_sn_west_lothian_the_james_young_high_school_5512131.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_the_james_young_high_school_5512131.geojson,THE JAMES YOUNG HIGH SCHOOL,West Lothian,5512131,The James Young High School|EH54 6NE,seed_code
scotland_sn_dundee_city_harris_academy_5329531.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dundee_city_harris_academy_5329531.geojson,HARRIS ACADEMY,Dundee City,5329531,Harris Academy|DD2 1NL,seed_code
scotland_sn_shetland_islands_baltasound_junior_high_school_6103138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_baltasound_junior_high_school_6103138.geojson,BALTASOUND JUNIOR HIGH SCHOOL,Shetland Islands,6103138,Baltasound Junior High School|ZE2 9DY,seed_code
scotland_sn_shetland_islands_anderson_high_school_6103634.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_anderson_high_school_6103634.geojson,ANDERSON HIGH SCHOOL,Shetland Islands,6103634,Anderson High School|ZE1 0GR,seed_code
scotland_sn_east_renfrewshire_barrhead_high_school_222.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_east_renfrewshire_barrhead_high_school_222.geojson,BARRHEAD HIGH SCHOOL,East Renfrewshire,,Barrhead High School|G78 2SJ,school_name_and_la
scotland_sn_south_lanarkshire_lesmahagow_high_school_lesmahagow_high_school_223.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_lesmahagow_high_school_lesmahagow_high_school_223.geojson,"LESMAHAGOW HIGH SCHOOL, LESMAHAGOW HIGH SCHOOL",South Lanarkshire,,,unmatched
scotland_sn_south_lanarkshire_calderglen_high_school_8530033.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_calderglen_high_school_8530033.geojson,CALDERGLEN HIGH SCHOOL,South Lanarkshire,8530033,Calderglen High School|G74 2LP,seed_code
scotland_sn_perth_and_kinross_crieff_high_school_5350336.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_crieff_high_school_5350336.geojson,CRIEFF HIGH SCHOOL,Perth and Kinross,5350336,Crieff High School|PH7 3JN,seed_code
scotland_sn_city_of_edinburgh_properties_in_this_area_have_liberton_high_as_their_catchment_school_226.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_properties_in_this_area_have_liberton_high_as_their_catchment_school_226.geojson,PROPERTIES IN THIS AREA HAVE LIBERTON HIGH AS THEIR CATCHMENT SCHOOL,City of Edinburgh,,Liberton High School|EH17 7PT,manual_override
scotland_sn_argyll_and_bute_tiree_high_school_8110131.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_argyll_and_bute_tiree_high_school_8110131.geojson,TIREE HIGH SCHOOL,Argyll and Bute,8110131,Tiree High School|PA77 6XA,seed_code
scotland_sn_north_ayrshire_kilwinning_academy_8217831.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_ayrshire_kilwinning_academy_8217831.geojson,KILWINNING ACADEMY,North Ayrshire,8217831,Kilwinning Academy|KA13 7HD,seed_code
scotland_sn_north_lanarkshire_kilsyth_academy_8358532.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_kilsyth_academy_8358532.geojson,KILSYTH ACADEMY,North Lanarkshire,8358532,Kilsyth Academy|G65 9NF,seed_code
scotland_sn_city_of_edinburgh_wester_hailes_high_school_5533937.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_wester_hailes_high_school_5533937.geojson,WESTER HAILES HIGH SCHOOL,City of Edinburgh,5533937,Wester Hailes High School|EH14 2SU,seed_code
scotland_sn_highland_grantown_grammar_school_5150132.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_grantown_grammar_school_5150132.geojson,GRANTOWN GRAMMAR SCHOOL,Highland,5150132,Grantown Grammar School|PH26 3HU,seed_code
scotland_sn_south_ayrshire_belmont_academy_8235732.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_belmont_academy_8235732.geojson,BELMONT ACADEMY,South Ayrshire,8235732,Belmont Academy|KA7 2PG,seed_code
scotland_sn_south_lanarkshire_stonelaw_high_school_8458634.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_stonelaw_high_school_8458634.geojson,STONELAW HIGH SCHOOL,South Lanarkshire,8458634,Stonelaw High School|G73 3BP,seed_code
scotland_sn_city_of_edinburgh_leith_academy_5533236.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_leith_academy_5533236.geojson,LEITH ACADEMY,City of Edinburgh,5533236,Leith Academy|EH6 8JQ,seed_code
scotland_sn_dundee_city_grove_academy_5329434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dundee_city_grove_academy_5329434.geojson,GROVE ACADEMY,Dundee City,5329434,Grove Academy|DD5 1AB,seed_code
scotland_sn_city_of_edinburgh_currie_community_high_school_5540739.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_currie_community_high_school_5540739.geojson,CURRIE COMMUNITY HIGH SCHOOL,City of Edinburgh,5540739,Currie Community High School|EH14 5RD,seed_code
