geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_highland_dornoch_academy_5109434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_dornoch_academy_5109434.geojson,DORNOCH ACADEMY,Highland,5109434,Dornoch Academy|IV25 3HR,seed_code
scotland_sn_inverclyde_port_glasgow_high_school_8645531.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_inverclyde_port_glasgow_high_school_8645531.geojson,PORT GLASGOW HIGH SCHOOL,Inverclyde,8645531,Port Glasgow High School|PA14 6PP,seed_code
scotland_sn_glasgow_city_bannerman_high_school_8458138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_glasgow_city_bannerman_high_school_8458138.geojson,BANNERMAN HIGH SCHOOL,Glasgow City,8458138,Bannerman High School|G69 7NS,seed_code
scotland_sn_south_lanarkshire_lesmahagow_high_school_8550131.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_lanarkshire_lesmahagow_high_school_8550131.geojson,LESMAHAGOW HIGH SCHOOL,South Lanarkshire,8550131,Lesmahagow High School|ML11 0FS,seed_code
scotland_sn_west_lothian_balerno_community_high_school_5541638.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_west_lothian_balerno_community_high_school_5541638.geojson,BALERNO COMMUNITY HIGH SCHOOL,West Lothian,5541638,Balerno Community High School|EH14 7AQ,seed_code
scotland_sn_aberdeenshire_kemnay_academy_5233038.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_kemnay_academy_5233038.geojson,KEMNAY ACADEMY,Aberdeenshire,5233038,Kemnay Academy|AB51 5FW,seed_code
scotland_sn_aberdeenshire_alford_academy_5230934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_alford_academy_5230934.geojson,ALFORD ACADEMY,Aberdeenshire,5230934,Alford Academy|AB33 8TY,seed_code
scotland_sn_aberdeenshire_mackie_academy_5251931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_mackie_academy_5251931.geojson,MACKIE ACADEMY,Aberdeenshire,5251931,Mackie Academy|AB39 3DF,seed_code
scotland_sn_aberdeenshire_aboyne_academy_5257530.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_aboyne_academy_5257530.geojson,ABOYNE ACADEMY,Aberdeenshire,5257530,Aboyne Academy|AB34 5JN,seed_code
scotland_sn_perth_and_kinross_the_community_school_of_auchterarder_5350034.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_the_community_school_of_auchterarder_5350034.geojson,THE COMMUNITY SCHOOL OF AUCHTERARDER,Perth and Kinross,5350034,The Community School of Auchterarder|PH3 1BL,seed_code
scotland_sn_stirling_wallace_high_school_5726530.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_stirling_wallace_high_school_5726530.geojson,WALLACE HIGH SCHOOL,Stirling,5726530,Wallace High School|FK9 5HW,seed_code
scotland_sn_na_h_eileanan_an_iar_sgoil_lionacleit_6233430.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_na_h_eileanan_an_iar_sgoil_lionacleit_6233430.geojson,SGOIL LIONACLEIT,Na h-Eileanan an Iar,6233430,Sgoil Lionacleit|HS7 5PJ,seed_code
scotland_sn_north_lanarkshire_braidhurst_high_school_8516839.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_braidhurst_high_school_8516839.geojson,BRAIDHURST HIGH SCHOOL,North Lanarkshire,8516839,Braidhurst High School|ML1 3XF,seed_code
scotland_sn_city_of_edinburgh_queensferry_high_school_63.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_city_of_edinburgh_queensferry_high_school_63.geojson,QUEENSFERRY HIGH SCHOOL,City of Edinburgh,,Queensferry Community High School|EH30 9JX,manual_override
scotland_sn_angus_carnoustie_high_school_5307430.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_carnoustie_high_school_5307430.geojson,CARNOUSTIE HIGH SCHOOL,Angus,5307430,Carnoustie High School|DD7 7SS,seed_code
